nama_produk,harga_produk,nama_penjual,kota_toko,total_terjual,rating,jabodetabek
Basranger Baso Aci Cuanki Extra Pedas 200gr - Makanan Instan Premium,23400,Rak Sebelah,Jakarta Pusat,100,4.9,True
Kylafood Seblak Rempah Autentik isi (20 pcs),216630,kylafood,Bandung,10,5.0,False
seblak instan om brewok,14000,Muysproduct,Kab. Bogor,2,5.0,True
PAKET HEMAT (2 Seblak original - Seblak Karuhun - Cireng Bumbu Rujak),56250,kylafood,Bandung,750,4.9,False
aneka kerupuk mix untuk bahan seblak 500 gr,14999,aghniya,Tangerang Selatan,100,5.0,True
kerupuk seblak pedas 1 kg / kerupuk seblak,35625,Adila_Putri_Snack,Kab.Ciamis,100,4.8,False
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg POCO / PUYUR,21000,SuperSnacksShop,Kab. Bandung,90,4.8,False
kerupuk mix 250 gram campuran seblak,7399,ArfaOnlineShop,Tangerang,70,5.0,True
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,20000,KailaAini_collection,Kab. Bandung,60,5.0,False
Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,20000,Gerai Snack Official Shop,Kab. Tangerang,100,4.8,True
Sukro pilus Cikur Sari rasa 1 renceng 10bks - toping seblak - baso aci,6000,Distributor Cuanki dan Seblak,Kab. Bekasi,80,4.4,True
Seblak,12000,anto frozen food,Tangerang,50,4.9,True
"cuanki lidah BARAYA 500 pcs enak, renyah, special seblak, baso aci dll",139999,aghniya,Tangerang Selatan,50,4.8,True
cuanki/cuankie lidah 100 pcs termurah khas Garut baso Aci/seblak boci,32999,ArfaOnlineShop,Tangerang,23,5.0,True
Kerupuk seblak putih,18000,Snackzone KK,Jakarta Selatan,25,5.0,True
Yasnack Kerupuk Seblak Rafael Pedas Cikruh Gurih 500 gr,28900,YasnackID,Bandung,11,5.0,False
kerupuk seblak pedas 1 kg - 1/2 kg,25500,Bintang Snack & Camilan,Semarang,100,5.0,False
"1kg kerupuk seblak pedas daun jeruk / seblak extra pedas daun jeruk - extra pedas jrk, 1 kg",39000,bluengemil_94,Kab.Ciamis,80,5.0,False
Seblak Putri 80 gr,12500,King Fresh Mart,Jakarta Barat,16,5.0,True
Muria Snack Seblak Stick Cabe Merah x 10pcs (Bisa Same Day Delivery),55000,Merbabu Food,Tangerang Selatan,5,5.0,True
